Caoimhín Kelleher,IRL,GK,24,0,0,0,0,0,0,0,0,0,0,Liverpool
Arthur Melo,BRA,MF,26,0,0,0,0,0,0,0,0,0,0,Liverpool
Calvin Ramsay,SCO,DF,19,0,0,0,0,0,0,0,0,0,0,Liverpool
Lewis Dunk,ENG,DF,31,14,14,1260.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,Brighton-and-Hove-Albion
Robert Sánchez,ESP,GK,25,14,14,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton-and-Hove-Albion
Alexis Mac Allister,ARG,MF,23,14,14,1256.0,5.0,0.0,3.0,4.0,0.0,3.6,0.8,Brighton-and-Hove-Albion
Moisés Caicedo,ECU,MF,21,14,14,1245.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,Brighton-and-Hove-Albion
Solly March,ENG,"DF,FW",28,14,14,1214.0,0.0,2.0,0.0,1.0,0.0,2.6,1.3,Brighton-and-Hove-Albion
Pascal Groß,GER,"MF,FW",31,14,14,1192.0,5.0,2.0,0.0,2.0,0.0,2.7,3.4,Brighton-and-Hove-Albion
Leandro Trossard,BEL,"FW,MF",27,14,14,1174.0,7.0,2.0,0.0,1.0,0.0,4.3,1.9,Brighton-and-Hove-Albion
Adam Webster,ENG,DF,27,13,13,1170.0,0.0,0.0,0.0,1.0,0.0,1.2,0.0,Brighton-and-Hove-Albion
Danny Welbeck,ENG,FW,32,13,11,996.0,0.0,2.0,0.0,0.0,0.0,3.0,1.8,Brighton-and-Hove-Albion
Joël Veltman,NED,DF,30,13,11,947.0,0.0,0.0,0.0,1.0,0.0,0.5,0.2,Brighton-and-Hove-Albion
Pervis Estupiñán,ECU,DF,24,11,8,631.0,0.0,0.0,0.0,3.0,0.0,0.1,1.7,Brighton-and-Hove-Albion
Adam Lallana,ENG,"MF,FW",34,11,8,489.0,1.0,1.0,0.0,0.0,0.0,0.8,0.8,Brighton-and-Hove-Albion
Kaoru Mitoma,JPN,"FW,MF",25,9,2,314.0,1.0,1.0,0.0,0.0,0.0,0.2,2.2,Brighton-and-Hove-Albion
Enock Mwepu,ZAM,"FW,MF",24,6,2,213.0,0.0,1.0,0.0,0.0,0.0,0.2,0.5,Brighton-and-Hove-Albion
Levi Colwill,ENG,DF,19,3,1,103.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Brighton-and-Hove-Albion
Tariq Lamptey,GHA,DF,22,11,0,188.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,Brighton-and-Hove-Albion
Deniz Undav,GER,"FW,MF",26,8,0,101.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,Brighton-and-Hove-Albion
Julio César Enciso,PAR,"MF,FW",18,2,0,80.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,Brighton-and-Hove-Albion
Billy Gilmour,SCO,MF,21,4,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton-and-Hove-Albion
Jeremy Sarmiento,ECU,"MF,FW",20,2,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton-and-Hove-Albion
Jan Paul van Hecke,NED,DF,22,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton-and-Hove-Albion
Steven Alzate,COL,MF,24,0,0,0,0,0,0,0,0,0,0,Brighton-and-Hove-Albion
Evan Ferguson,IRL,FW,18,0,0,0,0,0,0,0,0,0,0,Brighton-and-Hove-Albion
James Furlong,IRL,DF,20,0,0,0,0,0,0,0,0,0,0,Brighton-and-Hove-Albion
Neal Maupay,FRA,"FW,MF",26,0,0,0,0,0,0,0,0,0,0,Brighton-and-Hove-Albion
Andrew Moran,IRL,DF,19,0,0,0,0,0,0,0,0,0,0,Brighton-and-Hove-Albion
Jason Steele,ENG,GK,32,0,0,0,0,0,0,0,0,0,0,Brighton-and-Hove-Albion
Ed Turns,WAL,DF,20,0,0,0,0,0,0,0,0,0,0,Brighton-and-Hove-Albion
Mason Mount,ENG,"MF,FW",23,14,13,1030.0,2.0,2.0,0.0,2.0,0.0,1.5,1.6,Chelsea
Ruben Loftus-Cheek,ENG,"MF,DF",26,14,12,954.0,0.0,0.0,0.0,1.0,0.0,0.8,0.9,Chelsea
Thiago Silva,BRA,DF,38,12,11,1074.0,0.0,2.0,0.0,1.0,0.0,0.5,0.4,Chelsea
